Market Cap,Name
65933750272,DUK
9730106368,DVA
9640909824,DVN
9149369344,DXC
31705999360,EA
28237137920,EBAY
54457937920,ECL
29084301312,ED
17765298176,EFX
27074375680,EIX
76143837184,EL
10169870336,EMN
47167991808,EMR
50188775424,EOG
50655666176,EQIX
30176225280,EQR
27328665600,ES
19983106048,ESS
10459910144,ETFC
39384788992,ETN
24013692928,ETR
14739181568,EVRG
47872602112,EW
44969758720,EXC
13148939264,EXPD
15833431040,EXPE
13957399552,EXR
36675325952,F
14328255488,FANG
20836235264,FAST
628156727296,FB
9317551104,FBHS
18903271424,FCX
41514622976,FDX
25740464128,FE
8216295424,FFIV
87236329472,FIS
79636094976,FISV
21119690752,FITB
7238895616,FLIR
6518136832,FLS
25374822400,FLT
12702270464,FMC
22639765504,FOX
22609825792,FOXA
19340361728,FRC
9509830656,FRT
9135273984,FTI
19552606208,FTNT
26192711680,FTV
51933315072,GD
100241448960,GE
82272698368,GILD
32055480320,GIS
11289024512,GL
23266328576,GLW
48803143680,GM
986320732160,GOOG
985283559424,GOOGL
14369477632,GPC
57236361216,GPN
6644722176,GPS
18243422208,GRMN
86554329088,GS
18385106944,GWW
20606314496,HAL
13913179136,HAS
14851089408,HBAN
5005886464,HBI
50245824512,HCA
244251820032,HD
20875407360,HES
7858078720,HFC
21538758656,HIG
11081554944,HII
30642903040,HLT
5451658240,HOG
14257268736,HOLX
127780675584,HON
5044954624,HP
20001628160,HPE
31069200384,HPQ
4617567744,HRB
24009691136,HRL
9775818752,HSIC
12564958208,HST
21968865280,HSY
48218955776,HUM
121057722368,IBM
52483112960,ICE
24159813632,IDXX
13087628288,IEX
13327725568,IFF
49322909696,ILMN
16471408640,INCY
31701561344,INFO
256389005312,INTC
71649501184,INTU
17249183744,IP
8964364288,IPG
7178779136,IPGP
30910253056,IQV
31212443648,IR
8803804160,IRM
69074919424,ISRG
14257913856,IT
57287409664,ITW
8061058560,IVZ
12076356608,J
12691308544,JBHT
31868792832,JCI
11195086848,JKHY
384057933824,JNJ
8086521344,JNPR
430110507008,JPM
6481812480,JWN
23655081984,K
19157434368,KEY
18967035904,KEYS
37489610752,KHC
8191320064,KIM
27299938304,KLAC
48071688192,KMB
48719503360,KMI
14555968512,KMX
236525027328,KO
22704648192,KR
7258492416,KSS
15685677056,KSU
15487648768,L
5366380032,LB
14300794880,LDOS
6507768320,LEG
18516185088,LEN
17243017216,LH
46505443328,LHX
113716518912,LIN
10447290368,LKQ
133697986560,LLY
115752394752,LMT
11697562624,LNC
13236184064,LNT
92743475200,LOW
42702553088,LRCX
27993565184,LUV
54958301184,LVS
13218404352,LW
29816946688,LYB
15233676288,LYV
5502666240,M
319042617344,MA
15096635392,MAA
47533367296,MAR
13525530624,MAS
156093595648,MCD
26485932032,MCHP
25912836096,MCK
46828064768,MCO
78299021312,MDLZ
161814282240,MDT
48253038592,MET
17102618624,MGM
9096018944,MHK
21837662208,MKC
13768885248,MKTX
17304512512,MLM
56371412992,MMC
105371926528,MMM
35132137472,MNST
94782717952,MO
7810093568,MOS
39102169088,MPC
226408824832,MRK
10543065088,MRO
85585764352,MS
22508423168,MSCI
1230832271360,MSFT
28664512512,MSI
21904041984,MTB
19914186752,MTD
62953000960,MU
16628922368,MXIM
10786789376,MYL
10646913024,NBL
12461284352,NCLH
17512679424,NDAQ
119041392640,NEE
33732685824,NEM
147916849152,NFLX
10324755456,NI
156783460352,NKE
16509812736,NLOK
7102110208,NLSN
63097069568,NOC
9198234624,NOV
56368766976,NOW
9386972160,NRG
51510571008,NSC
14407907328,NTAP
22669254656,NTRS
16000656384,NUE
149523841024,NVDA
13971562496,NVR
8146215936,NWL
8493837824,NWS
8525206016,NWSA
24033267712,O
15722835968,ODFL
31200309248,OKE
17255260160,OMC
174656552960,ORCL
33051588608,ORLY
41003249664,OXY
30559571968,PAYX
7133373952,PBCT
26912454656,PCAR
17288742912,PEAK
29483827200,PEG
187588624384,PEP
220291022848,PFE
15466330112,PFG
310475423744,PG
43087228928,PGR
26375149568,PH
10837289984,PHM
10003447808,PKG
11147874304,PKI
56505954304,PLD
138659954688,PM
69480620032,PNC
7636447744,PNR
10179940352,PNW
30288545792,PPG
25624289280,PPL
6692854784,PRGO
37952823296,PRU
37699440640,PSA
46599827456,PSX
7330850816,PVH
5845493248,PWR
24747661312,PXD
135200923648,PYPL
103062478848,QCOM
13176455168,QRVO
27920754688,RCL
11174230016,RE
10375562240,REG
42919686144,REGN
15771847680,RF
7323399168,RHI
12884592640,RJF
8801750016,RL
22558584832,RMD
23722143744,ROK
11372059648,ROL
38537879552,ROP
43324231680,ROST
29007087616,RSG
63069925376,RTN
27568103424,SBAC
106478960640,SBUX
61402923008,SCHW
5947321344,SEE
52347625472,SHW
12981212160,SIVB
11905165312,SJM
55140257792,SLB
7298048512,SLG
9134651392,SNA
22348429312,SNPS
66762149888,SO
44431560704,SPG
70616940544,SPGI
42216742912,SRE
12795469824,STE
29704364032,STT
15880424448,STX
36106985472,STZ
25233991680,SWK
20458631168,SWKS
22920466432,SYF
78886682624,SYK
43328475136,SYY
281753845760,T
11927556096,TAP
31812030464,TDG
33141286912,TEL
75223670784,TFC
17532258304,TFX
63205306368,TGT
16211095552,TIF
75006246912,TJX
132027506688,TMO
68018606080,TMUS
7568924672,TPR
29784469504,TROW
35352117248,TRV
10805090304,TSCO
33585360896,TSN
14367865856,TTWO
25847848960,TWTR
121849520128,TXN
10109768704,TXT
8516699136,UA
8426567680,UAA
22093271040,UAL
13495090176,UDR
12791395328,UHS
15278071808,ULTA
285505814528,UNH
5924016640,UNM
124878643200,UNP
99961397248,UPS
11985112064,URI
88510603264,USB
131096027136,UTX
437999665152,V
13329106944,VAR
37318369280,VFC
24988815360,VIAC
39788167168,VLO
18947942400,VMC
12678165504,VNO
25780029440,VRSK
24552568832,VRSN
60794925056,VRTX
21234769920,VTR
244420345856,VZ
14891774976,WAB
14876614656,WAT
48031440896,WBA
16926178304,WCG
20498313216,WDC
29190447104,WEC
33600241664,WELL
222716035072,WFC
9459745792,WHR
26387189760,WLTW
49296801792,WM
28483176448,WMB
329057468416,WMT
12464186368,WRB
10886892544,WRK
11009662976,WU
22033848320,WY
15449083904,WYNN
5498758144,XEC
32816093184,XEL
24942999552,XLNX
288127123456,XOM
12853305344,XRAY
7923290624,XRX
14444358656,XYL
30811664384,YUM
31219970048,ZBH
13279248384,ZBRA
8722486272,ZION
64431677440,ZTS
